1233	161140	"Hargraves, Paul E."	"Paul E. Hargraves"	"Paul "	"Hargraves"
1055	176910	"Harris, David Charles"	"David Harris"	"David "	"Harris"
1055	174440	"Harris, David J."	"David Harris"	"David "	"Harris"
1055	120269	"Harris, David R."	"David Harris"	"David "	"Harris"
1541	180478	"Harris, Stephen A."	"Stephen Harris"	"Stephen "	"Harris"
1223	180478	"Harris, Stephen A."	"Stephen Harris"	"Stephen "	"Harris"
1691	113051	"Hartman, Ronald Lee"	"Ronald L. Hartman"	"Ronald "	"Hartman"
1724	190460	"Hastings, Roxanne Irene"	"Roxanne Hastings"	"Roxanne "	"Hastings"
1829	115818	"Hatschbach, Gert Guenther"	"Gert Hatschbach"	"Gert "	"Hatschbach"
1407	110555	"Hawksworth, Frank Goode"	"Frank Hawksworth"	"Frank "	"Hawksworth"
1718	135212	"Haynes, Robert Ralph"	"Robert R. Haynes"	"Robert "	"Haynes"
1569	128366	"Hebda, Richard J."	"Richard D. Hebda"	"Richard "	"Hebda"
1178	146580	"Hellenthal, Barbara J."	"Barbara J. Hellenthal"	"Barbara "	"Hellenthal"
1465	126292	"Hemmes, Don Evan"	"Don E. Hemmes"	"Don "	"Hemmes"
2090	136512	"Henderson, Douglass Miles"	"Douglass M. Henderson"	"Douglass "	"Henderson"
1011	109181	"Henrickson, James Solberg"	"James Henrickson"	"James "	"Henrickson"
1177	164103	"Herendeen, Patrick S."	"Patrick S. Herendeen"	"Patrick "	"Herendeen"
1072	116908	"Hess, William E."	"William J. Hess"	"William "	"Hess"
1072	112730	"Hess, William John"	"William J. Hess"	"William "	"Hess"
2089	144074	"Hibbett, David Scott"	"David Hibbett"	"David "	"Hibbett"
1483	102458	"Higgins, Larry C."	"Larry C. Higgins"	"Larry "	"Higgins"
1849	102879	"Hind, David John Nicholas"	"John C. David"	"John "	"David"
1379	145104	"Hinds, Harold R."	"Harold Hinds"	"Harold "	"Hinds"
438939	103177	"Hodgson, Wendy C."	"Wendy Hodgson"	"Wendy "	"Hodgson"
2087	101464	"Holst, Bruce K."	"Bruce K. Holst"	"Bruce "	"Holst"
1634	134896	"Hooper, Robert G."	"Robert G. Hooper"	"Robert "	"Hooper"
1785	171653	"Horn, Charles N."	"Charles N. Horn"	"Charles "	"Horn"
1382	131821	"Horton, Diana G."	"Diana G. Horton"	"Diana "	"Horton"
1382	101923	"Horton, Diana Gail"	"Diana G. Horton"	"Diana "	"Horton"
1049	109964	"Humber, Richard A."	"Richard A. Humber"	"Richard "	"Humber"
1315	103730	"Hyde, Kevin D."	"Kevin Hyde"	"Kevin "	"Hyde"
1547	103730	"Hyde, Kevin D."	"Kevin D. Hyde"	"Kevin "	"Hyde"
2031	181518	"Hywel-Jones, Nigel Leslie"	"Nigel Hywel-Jones"	"Nigel "	"Hywel-Jones"
1854	108691	"Ignatov, Mikhail (Misha) Stanislavovich"	"Mikhail S. Ignatov"	"Mikhail "	"Ignatov"
1821	140757	"Ireland, Robert R."	"Robert R. Ireland"	"Robert "	"Ireland"
1821	169739	"Ireland, Robert Root, Jr."	"Robert R. Ireland"	"Robert "	"Ireland"
1002	124593	"Jackes, Betsy Rivers"	"Betsy R. Jackes"	"Betsy "	"Jackes"
1972	124590	"Jackson, Dennis C."	"Dennis C. Jackson"	"Dennis "	"Jackson"
1972	120682	"Jackson, Dennis Cobian"	"Dennis C. Jackson"	"Dennis "	"Jackson"
1992	145536	"Jamieson, David W."	"David W. Jamieson"	"David "	"Jamieson"
2024	177761	"Janeway, Lawrence Paul"	"Lawrence Janeway"	"Lawrence "	"Janeway"
1803	183794	"Jayasuriya, Anthony H. M."	"Anthony H. H. Jayasuriya"	"Anthony "	"Jayasuriya"
1803	138918	"Jayasuriya, Anthony Harold Magdon"	"Anthony H. H. Jayasuriya"	"Anthony "	"Jayasuriya"
1586	130078	"Jenkins, Philip D."	"Philip D. Jenkins"	"Philip "	"Jenkins"
1642	144329	"Jessop, John P."	"John P. Jessop"	"John "	"Jessop"
1642	172553	"Jessop, John Peter"	"John P. Jessop"	"John "	"Jessop"
1463	161675	"Johansson, Jan Thomas"	"Jan Thomas Johansson"	"Jan "	"Johansson"
1913	143619	"Johnson, David Mark"	"David W. Johnson"	"David "	"Johnson"
1513	143619	"Johnson, David Mark"	"David M. Johnson"	"David "	"Johnson"
1021	138197	"Johnson, George P."	"George P. Johnson"	"George "	"Johnson"
1311	143451	"Jones, Ronald A."	"Ronald L. Jones"	"Ronald "	"Jones"
1311	133062	"Jones, Ronald L."	"Ronald L. Jones"	"Ronald "	"Jones"
1126	143767	"Judziewicz, Emmet J."	"Emmet Judziewicz"	"Emmet "	"Judziewicz"
2154	140187	"Junak, Steven Alan"	"Steven A. Junak"	"Steven "	"Junak"
1268	118825	"Jury, Stephen L."	"Stephen L. Jury"	"Stephen "	"Jury"
1268	171927	"Jury, Stephen Leonard"	"Stephen L. Jury"	"Stephen "	"Jury"
450085	131964	"Kadereit, Joachim W."	"Joachim W. Kadereit"	"Joachim "	"Kadereit"
2147	168694	"Kasper, Andrew Edward"	"Andrew Kasper"	"Andrew "	"Kasper"
586793	141388	"Kaul, Robert Bruce"	"Robert Kaul"	"Robert "	"Kaul"
645889	116234	"Keener, Brian R."	"Brian R. Keener"	"Brian "	"Keener"
2097	114371	"Keener, Carl S."	"Carl S. Keener"	"Carl "	"Keener"
2097	160836	"Keener, Carl Samuel"	"Carl S. Keener"	"Carl "	"Keener"
1284	128904	"Keil, David J."	"David J. Keil"	"David "	"Keil"
1169	136863	"Kennedy, Robin C."	"Robin C. Kennedy"	"Robin "	"Kennedy"
1975	189516	"Kessler, B., Nickerson, Norton Hart & Sammons, D."	"Norton H. Nickerson"	"Norton "	"Nickerson"
1018	146457	"Kimbrough, James W."	"James W. Kimbrough"	"James "	"Kimbrough"
1405	146457	"Kimbrough, James W."	"James W. Kimbrough"	"James "	"Kimbrough"
1405	167685	"Kimbrough, James William"	"James W. Kimbrough"	"James "	"Kimbrough"
1018	167685	"Kimbrough, James William"	"James W. Kimbrough"	"James "	"Kimbrough"
1298	141198	"King, Robert J."	"Robert M. King"	"Robert "	"King"
1298	111681	"King, Robert Merrill"	"Robert M. King"	"Robert "	"King"
